aacute	Aacute	aacute.sc
abreve	Abreve	abreve.sc
acircumflex	Acircumflex	acircumflex.sc
adieresis	Adieresis	adieresis.sc
aeacute	AEacute	aeacute.sc
agrave	Agrave	agrave.sc
amacron	Amacron	amacron.sc
aogonek	Aogonek	aogonek.sc
aring	Aring	aring.sc
atilde	Atilde	atilde.sc
cacute	Cacute	cacute.sc
ccaron	Ccaron	ccaron.sc
ccedilla	Ccedilla	ccedilla.sc
ccircumflex	Ccircumflex	ccircumflex.sc
cdotaccent	Cdotaccent	cdotaccent.sc
	Dcaron	dcaron.sc
eacute	Eacute	eacute.sc
ebreve	Ebreve	ebreve.sc
ecaron	Ecaron	ecaron.sc
ecircumflex	Ecircumflex	ecircumflex.sc
edieresis	Edieresis	edieresis.sc
edotaccent	Edotaccent	edotaccent.sc
egrave	Egrave	egrave.sc
emacron	Emacron	emacron.sc
eogonek	Eogonek	eogonek.sc
gbreve	Gbreve	gbreve.sc
gcedilla	Gcedilla	uni0123.sc
gcircumflex	Gcircumflex	gcircumflex.sc
uni0123	uni0122	gcommaaccent.sc
gdotaccent	Gdotaccent	gdotaccent.sc
hcircumflex	Hcircumflex	hcircumflex.sc
iacute	Iacute	iacute.sc
ibreve	Ibreve	ibreve.sc
icircumflex	Icircumflex	icircumflex.sc
idieresis	Idieresis	idieresis.sc
	Idotaccent	idotaccent.sc
igrave	Igrave	igrave.sc
imacron	Imacron	imacron.sc
iogonek	Iogonek	iogonek.sc
itilde	Itilde	itilde.sc
jcircumflex	Jcircumflex	jcircumflex.sc
kcedilla	Kcedilla	kcedilla.sc
uni0137	uni0136	kcommaaccent.sc
lacute	Lacute	lacute.sc
lcedilla	Lcedilla	lcedilla.sc
uni013C	uni013B	lcommaaccent.sc
nacute	Nacute	nacute.sc
ncaron	Ncaron	ncaron.sc
ncedilla	Ncedilla	ncedilla.sc
uni0146	uni0145	ncommaaccent.sc
ntilde	Ntilde	ntilde.sc
oacute	Oacute	oacute.sc
obreve	Obreve	obreve.sc
ocircumflex	Ocircumflex	ocircumflex.sc
odieresis	Odieresis	odieresis.sc
ograve	Ograve	ograve.sc
ohungarumlaut	Ohungarumlaut	ohungarumlaut.sc
omacron	Omacron	omacron.sc
oslashacute	Oslashacute	oslashacute.sc
otilde	Otilde	otilde.sc
racute	Racute	racute.sc
rcaron	Rcaron	rcaron.sc
rcedilla	Rcedilla	rcedilla.sc
uni0157	uni0156	rcommaaccent.sc
sacute	Sacute	sacute.sc
scaron	Scaron	scaron.sc
scedilla	Scedilla	scedilla.sc
scircumflex	Scircumflex	scircumflex.sc
uni0219	uni0218	scommaaccent.sc
tcaron	Tcaron	tcaron.sc
uni0163	uni0162	tcommaaccent.sc
uni021B	uni021A	uni021B.sc
uacute	Uacute	uacute.sc
ubreve	Ubreve	ubreve.sc
ucircumflex	Ucircumflex	ucircumflex.sc
udieresis	Udieresis	udieresis.sc
ugrave	Ugrave	ugrave.sc
uhungarumlaut	Uhungarumlaut	uhungarumlaut.sc
umacron	Umacron	umacron.sc
uogonek	Uogonek	uogonek.sc
uring	Uring	uring.sc
utilde	Utilde	utilde.sc
wacute	Wacute	wacute.sc
wcircumflex	Wcircumflex	wcircumflex.sc
wdieresis	Wdieresis	wdieresis.sc
wgrave	Wgrave	wgrave.sc
yacute	Yacute	yacute.sc
ycircumflex	Ycircumflex	ycircumflex.sc
ydieresis	Ydieresis	ydieresis.sc
ygrave	Ygrave	ygrave.sc
zacute	Zacute	zacute.sc
zcaron	Zcaron	zcaron.sc
zdotaccent	Zdotaccent	zdotaccent.sc
