parenleft.cap	parenleft.case
parenright.cap	parenright.case
bracketleft.cap	bracketleft.case
bracketright.cap	bracketright.case
braceleft.cap	braceleft.case
braceright.cap	braceright.case
guilsinglleft.cap	guilsinglleft.case
guilsinglright.cap	guilsinglright.case
guillemotleft.cap	guillemotleft.case
guillemotright.cap	guillemotright.case
hyphen.cap	hyphen.case
endash.cap	endash.case
emdash.cap	emdash.case
plus.cap	plus.case
minus.cap	minus.case
multiply.cap	multiply.case
divide.cap	divide.case
equal.cap	equal.case
less.cap	less.case
greater.cap	greater.case
plusminus.cap	plusminus.case
lessequal.cap	lessequal.case
greaterequal.cap	greaterequal.case
notequal.cap	notequal.case
logicalnot.cap	logicalnot.case
asciitilde.cap	asciitilde.case
approxequal.cap	approxequal.case
infinity.cap	infinity.case
	
figurespace	uni2007
slashedzero	zero.zero
zero.tos	zero.tosf
one.tos	one.tosf
two.tos	two.tosf
three.tos	three.tosf
four.tos	four.tosf
five.tos	five.tosf
six.tos	six.tosf
seven.tos	seven.tosf
eight.tos	eight.tosf
nine.tos	nine.tosf
slashedzero.tos	zero.tosf.zero
	
a.inf	a.sinf
a.sup	a.sups
a.num	a.numr
b.inf	b.sinf
b.sup	b.sups
b.num	b.numr
c.inf	c.sinf
c.sup	c.sups
c.num	c.numr
d.inf	d.sinf
d.sup	d.sups
d.num	d.numr
e.inf	e.sinf
e.sup	e.sups
e.num	e.numr
f.inf	f.sinf
f.sup	f.sups
f.num	f.numr
g.inf	g.sinf
g.sup	g.sups
g.num	g.numr
h.inf	h.sinf
h.sup	h.sups
h.num	h.numr
i.inf	i.sinf
i.sup	i.sups
i.num	i.numr
j.inf	j.sinf
j.sup	j.sups
j.num	j.numr
k.inf	k.sinf
k.sup	k.sups
k.num	k.numr
l.inf	l.sinf
l.sup	l.sups
l.num	l.numr
m.inf	m.sinf
m.sup	m.sups
m.num	m.numr
n.inf	n.sinf
n.sup	n.sups
n.num	n.numr
o.inf	o.sinf
o.sup	o.sups
o.num	o.numr
p.inf	p.sinf
p.sup	p.sups
p.num	p.numr
q.inf	q.sinf
q.sup	q.sups
q.num	q.numr
r.inf	r.sinf
r.sup	r.sups
r.num	r.numr
s.inf	s.sinf
s.sup	s.sups
s.num	s.numr
t.inf	t.sinf
t.sup	t.sups
t.num	t.numr
u.inf	u.sinf
u.sup	u.sups
u.num	u.numr
v.inf	v.sinf
v.sup	v.sups
v.num	v.numr
w.inf	w.sinf
w.sup	w.sups
w.num	w.numr
x.inf	x.sinf
x.sup	x.sups
x.num	x.numr
y.inf	y.sinf
y.sup	y.sups
y.num	y.numr
z.inf	z.sinf
z.sup	z.sups
z.num	z.numr
zero.inf	zero.sinf
zero.sup	zero.sups
zero.num	zero.numr
one.inf	one.sinf
one.sup	one.sups
one.num	one.numr
two.inf	two.sinf
two.sup	two.sups
two.num	two.numr
three.inf	three.sinf
three.sup	three.sups
three.num	three.numr
four.inf	four.sinf
four.sup	four.sups
four.num	four.numr
five.inf	five.sinf
five.sup	five.sups
five.num	five.numr
six.inf	six.sinf
six.sup	six.sups
six.num	six.numr
seven.inf	seven.sinf
seven.sup	seven.sups
seven.num	seven.numr
eight.inf	eight.sinf
eight.sup	eight.sups
eight.num	eight.numr
nine.inf	nine.sinf
nine.sup	nine.sups
nine.num	nine.numr
dollar.inf	dollar.sinf
dollar.sup	dollar.sups
dollar.num	dollar.numr
cent.inf	cent.sinf
cent.sup	cent.sups
cent.num	cent.numr
Euro.inf	Euro.sinf
Euro.sup	Euro.sups
Euro.num	Euro.numr
plus.inf	plus.sinf
plus.sup	plus.sups
plus.num	plus.numr
minus.inf	minus.sinf
minus.sup	minus.sups
minus.num	minus.numr
equal.inf	equal.sinf
equal.sup	equal.sups
equal.num	equal.numr
period.inf	period.sinf
period.sup	period.sups
period.num	period.numr
comma.inf	comma.sinf
comma.sup	comma.sups
comma.num	comma.numr
hyphen.inf	hyphen.sinf
hyphen.sup	hyphen.sups
hyphen.num	hyphen.numr
parenleft.inf	parenleft.sinf
parenleft.sup	parenleft.sups
parenleft.num	parenleft.numr
parenright.inf	parenright.sinf
parenright.sup	parenright.sups
parenright.num	parenright.numr
	
onefifth	uni2155
twofifths	uni2156
threefifths	uni2157
fourfifths	uni2158
onesixth	uni2159
fivesixths	uni215A
oneeight	oneeighth
threeeights	threeeighths
fiveeights	fiveeighths
seveneights	seveneighths
	
ffi	uniFB03
ffl	uniFB04
	
slashedzero.sc	zero.sc.zero
